id,year,gender,topik,inst,P_score,R_score,A_score,T_score,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21
19,1,M,L3,yes,4.0,4.363636363636363,3.5,3.9545454545454546,4,4,4,4,5,4,5,4,5,5,5,4,3,4,4,4,3,3,4,3,4
20,1,F,L5,yes,2.25,3.0,3.6666666666666665,2.972222222222222,3,2,3,1,4,3,3,5,3,2,2,3,3,3,2,3,3,5,4,3,4
21,1,M,L4,yes,4.0,3.090909090909091,2.8333333333333335,3.308080808080808,3,4,4,5,3,4,3,3,4,4,3,3,2,3,2,3,3,3,2,3,3
22,4,M,L3,no,4.0,3.0,3.6666666666666665,3.5555555555555554,4,4,4,4,3,3,3,2,3,4,2,3,3,4,3,4,2,4,4,4,4
23,1,F,L6,yes,4.25,2.909090909090909,3.3333333333333335,3.4974747474747474,5,4,4,4,3,3,2,4,3,3,2,3,4,4,1,3,3,3,4,5,2
24,1,F,L4,yes,4.75,3.8181818181818183,2.8333333333333335,3.8005050505050506,5,5,5,4,5,3,4,4,3,4,4,5,4,3,3,3,4,2,5,2,1
25,1,F,L5,no,3.75,3.1818181818181817,2.5,3.143939393939394,4,4,4,3,3,4,2,3,3,4,3,4,4,3,2,2,3,3,2,3,2
26,1,M,L5,yes,3.25,3.6363636363636362,3.3333333333333335,3.406565656565657,3,3,4,3,3,4,4,4,5,3,3,4,3,4,3,5,3,3,3,3,3
27,1,F,L6,yes,4.75,4.181818181818182,3.0,3.977272727272727,5,4,5,5,4,5,2,4,4,5,5,4,4,5,4,3,3,2,2,4,4
28,1,F,L6,yes,4.5,3.6363636363636362,3.5,3.878787878787879,4,5,5,4,4,4,4,4,3,4,3,5,3,3,3,3,3,3,4,4,4
29,1,F,L4,yes,4.0,3.3636363636363638,3.1666666666666665,3.51010101010101,2,5,4,5,3,4,3,3,3,3,4,3,4,5,2,3,3,3,4,3,3
30,1,F,L3,yes,4.5,3.0,2.6666666666666665,3.388888888888889,3,5,5,5,3,2,3,5,4,2,4,2,2,3,3,2,2,3,2,3,4
31,1,M,L4,no,3.0,3.272727272727273,2.6666666666666665,2.9797979797979797,2,4,3,3,3,2,3,5,3,4,4,2,3,4,3,3,3,2,3,2,3
32,1,F,L6,yes,4.25,3.0,3.0,3.4166666666666665,4,5,5,3,2,3,4,2,3,2,3,4,3,4,3,3,2,4,3,3,3
33,1,M,L5,no,4.5,3.909090909090909,3.0,3.803030303030303,4,4,5,5,5,4,4,5,4,4,3,3,4,4,3,3,2,4,3,3,3
34,2,F,L6,yes,4.0,2.6363636363636362,2.8333333333333335,3.156565656565657,4,4,4,4,2,3,2,3,2,3,3,2,3,4,2,3,3,2,3,3,3
35,EX,M,L4,yes,3.75,3.5454545454545454,2.6666666666666665,3.3207070707070705,4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,2,2,3,3,3,3
36,4,M,none,yes,3.25,2.8181818181818183,3.0,3.022727272727273,4,3,3,3,2,2,2,3,4,3,2,4,2,3,4,3,3,3,3,4,2
37,3,F,L4,yes,5.0,3.090909090909091,3.0,3.696969696969697,5,5,5,5,3,4,3,3,2,3,3,3,4,3,3,2,3,3,3,3,4
38,1,F,L4,yes,3.25,2.6363636363636362,3.1666666666666665,3.0176767676767677,4,2,3,4,3,2,3,3,2,3,3,2,3,2,3,2,4,3,5,2,3
39,1,F,L6,yes,5.0,3.3636363636363638,2.1666666666666665,3.51010101010101,5,5,5,5,3,4,4,3,3,4,4,4,3,2,3,2,3,2,2,3,1
40,1,M,L5,yes,3.5,3.272727272727273,3.1666666666666665,3.313131313131313,3,3,5,3,3,3,4,4,2,3,3,4,3,4,3,3,3,4,3,3,3
41,1,F,L5,yes,3.5,3.272727272727273,3.3333333333333335,3.368686868686869,3,4,3,4,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,4
42,2,F,L5,yes,3.75,3.727272727272727,3.8333333333333335,3.7702020202020203,3,3,4,5,4,4,2,5,4,4,3,3,3,4,5,4,4,3,2,5,5
43,4,F,L5,yes,3.0,3.090909090909091,3.5,3.196969696969697,3,4,2,3,4,4,2,3,3,3,3,4,3,2,3,3,4,3,4,3,4
44,2,F,L6,yes,3.25,2.8181818181818183,3.0,3.022727272727273,3,4,3,3,3,2,2,3,3,3,4,2,4,2,3,2,3,3,4,3,3
45,1,F,L5,yes,3.75,3.272727272727273,4.0,3.6742424242424243,3,3,4,5,4,3,2,4,2,4,4,4,3,3,3,4,3,4,5,5,3
46,2,F,L5,yes,3.75,2.5454545454545454,3.1666666666666665,3.1540404040404035,4,4,3,4,2,3,2,2,2,3,2,3,3,3,3,4,2,3,2,4,4
47,1,F,L3,yes,4.5,3.090909090909091,3.5,3.696969696969697,4,5,5,4,3,3,3,2,2,3,3,4,4,4,3,4,3,3,4,4,3
48,4,M,L5,yes,4.25,4.545454545454546,3.5,4.098484848484849,4,5,4,4,5,4,5,5,5,5,4,4,4,5,4,4,3,3,3,3,5
49,2,F,L4,yes,4.5,4.0,4.666666666666667,4.388888888888889,5,5,4,4,3,4,4,4,5,3,5,4,4,5,3,5,5,4,5,5,4
50,1,F,L3,no,4.0,3.090909090909091,2.0,3.03030303030303,4,5,3,4,2,4,4,4,3,3,3,3,3,2,3,2,3,3,2,1,1
51,2,F,L4,yes,4.25,2.727272727272727,3.8333333333333335,3.6035353535353534,5,3,4,5,3,3,3,2,3,3,2,2,2,4,3,4,3,4,5,4,3
52,1,F,L3,yes,3.75,3.5454545454545454,2.3333333333333335,3.20959595959596,4,2,4,5,4,4,4,4,3,3,4,3,4,3,3,2,1,3,3,2,3
53,EX,M,L4,yes,2.5,3.272727272727273,3.8333333333333335,3.2020202020202024,3,2,2,3,3,4,4,3,3,3,3,4,3,3,3,3,4,4,5,4,3
54,1,F,L5,yes,3.5,3.272727272727273,3.3333333333333335,3.368686868686869,4,2,5,3,2,3,4,4,4,4,3,3,3,3,3,4,3,4,5,1,3
55,1,F,L3,yes,3.75,3.727272727272727,2.6666666666666665,3.381313131313131,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,2,2,3,3
56,1,M,L3,yes,4.75,3.1818181818181817,3.6666666666666665,3.866161616161616,5,4,5,5,3,4,2,3,4,3,3,4,3,3,3,3,4,4,4,4,3
57,1,F,L6,yes,4.75,3.909090909090909,4.166666666666667,4.275252525252526,4,5,5,5,4,4,4,3,4,5,2,3,4,5,5,4,3,5,4,4,5
58,EX,F,L3,yes,4.25,3.090909090909091,3.0,3.446969696969697,3,5,4,5,3,3,4,3,2,2,3,4,3,3,4,3,2,3,4,3,3
59,1,M,L5,yes,3.75,3.727272727272727,3.0,3.492424242424242,4,5,3,3,4,2,4,4,4,5,3,4,5,2,4,3,3,3,3,2,4
60,1,F,L4,yes,3.25,2.4545454545454546,3.0,2.901515151515152,3,4,3,3,3,1,3,2,2,1,4,2,3,3,3,3,3,4,3,3,2
61,1,F,L4,yes,4.25,3.1818181818181817,3.0,3.477272727272727,4,4,5,4,2,4,3,3,4,3,3,4,2,3,4,3,3,4,3,2,3
62,1,F,L5,no,5.0,3.272727272727273,2.1666666666666665,3.4797979797979797,5,5,5,5,5,2,2,3,3,3,5,3,4,3,3,2,2,2,3,2,2
63,EX,F,none,no,4.75,3.909090909090909,3.1666666666666665,3.941919191919192,4,5,5,5,5,4,4,4,4,3,2,4,5,4,4,3,3,3,3,3,4
64,4,F,L3,yes,4.0,2.909090909090909,2.3333333333333335,3.080808080808081,5,4,3,4,3,3,2,3,2,2,5,4,3,2,3,3,1,1,3,3,3
65,3,F,none,yes,3.75,3.1818181818181817,2.8333333333333335,3.255050505050505,4,2,4,5,4,3,4,4,2,3,2,3,3,4,3,4,3,2,2,3,3
66,1,F,L5,yes,3.5,2.909090909090909,3.1666666666666665,3.191919191919192,3,4,3,4,3,3,3,2,3,2,4,2,3,4,3,3,4,4,3,4,1
67,1,M,L5,yes,4.25,3.1818181818181817,2.8333333333333335,3.4217171717171717,4,4,4,5,3,4,2,2,4,4,2,3,3,5,3,3,3,2,3,3,3
68,3,F,L4,yes,3.75,3.0,3.3333333333333335,3.361111111111111,3,4,4,4,3,4,2,4,2,3,3,3,3,3,3,3,3,4,3,3,4
69,4,F,L4,no,5.0,4.545454545454546,4.166666666666667,4.570707070707072,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,5
70,1,F,L4,yes,4.25,2.8181818181818183,3.8333333333333335,3.633838383838384,3,4,5,5,4,3,2,2,3,2,3,4,3,2,3,5,3,3,3,4,5
71,1,F,none,no,4.0,2.5454545454545454,2.5,3.015151515151515,5,4,3,4,2,3,4,2,2,2,2,3,2,4,2,2,3,3,3,2,2
72,4,F,L5,no,4.75,3.909090909090909,4.166666666666667,4.275252525252526,5,5,4,5,3,3,4,4,5,4,4,5,4,4,3,4,4,4,4,5,4
73,1,M,L3,yes,4.0,4.090909090909091,4.333333333333333,4.141414141414141,2,4,5,5,5,4,5,4,4,5,3,5,4,3,3,5,4,5,5,3,4
74,2,M,L3,yes,3.75,3.090909090909091,3.0,3.28030303030303,3,4,4,4,3,3,2,4,3,4,4,3,3,3,2,2,4,1,4,3,4
75,1,F,L5,yes,4.5,2.727272727272727,2.8333333333333335,3.3535353535353534,5,4,4,5,2,2,3,3,3,1,2,4,3,3,4,2,3,2,4,3,3
76,4,M,L5,yes,4.75,4.181818181818182,3.5,4.143939393939394,5,5,5,4,4,5,4,3,4,4,5,5,4,5,3,4,4,3,3,3,4
77,1,F,L3,yes,4.5,3.8181818181818183,3.1666666666666665,3.8282828282828283,5,5,3,5,5,4,3,4,4,4,3,4,3,4,4,2,3,3,3,4,4
78,1,M,L4,yes,3.0,3.1818181818181817,3.6666666666666665,3.2828282828282824,4,2,3,3,3,3,3,4,3,3,2,3,3,4,4,4,3,4,4,4,3
79,1,M,none,yes,2.5,3.0,2.8333333333333335,2.777777777777778,2,2,3,3,4,4,3,3,3,2,4,3,2,3,2,3,4,3,2,3,2
80,1,M,L6,no,4.0,3.727272727272727,3.5,3.742424242424242,4,3,5,4,3,4,4,5,3,3,4,4,5,3,3,3,5,3,3,4,3
81,1,F,none,yes,5.0,3.909090909090909,2.8333333333333335,3.914141414141415,5,5,5,5,3,5,5,4,3,5,3,4,4,3,4,2,2,3,4,3,3
82,EX,F,L6,yes,5.0,3.5454545454545454,3.0,3.848484848484848,5,5,5,5,4,3,4,3,3,3,5,3,4,3,4,4,3,2,2,3,4
83,4,F,L5,no,2.75,3.0,3.3333333333333335,3.027777777777778,3,2,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,4
84,1,F,none,yes,3.25,2.8181818181818183,3.0,3.022727272727273,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,2,3,4,2
85,1,F,L4,yes,3.25,3.272727272727273,3.1666666666666665,3.2297979797979797,4,3,3,3,3,2,3,4,4,3,4,3,3,4,3,4,3,3,2,3,4
